22877	脑供血不足
T94.101	陈旧性躯干骨折
T95.001	陈旧性外耳道烧伤
T95.801	陈旧性眼烧伤
T97.X01	一氧化碳中毒后遗症
T97.X02	中毒性脑病后遗症
Z00.001	健康查体
Z00.501	对供献器官者的检查
Z00.601	临床研究中正常比较或对照的检查
Z01.401	妇科检查
Z01.801	喉镜检查
Z01.802	腹腔镜检查
T86.107	慢性移植肾功能衰竭
T86.108	移植肾破裂
T86.109	肾移植术后少尿
T86.110	移植肾动脉狭窄(吻合口)
T86.801	眼硅胶排异反应
T86.802	移植角膜排斥
T87.301	创伤性神经瘤
T87.302	指创伤性神经瘤
T87.601	残端综合征
T88.701	药物过敏反应
T88.702	药物热
T90.201	陈旧性鼻骨骨折
T90.202	陈旧性颅骨骨折
T90.301	创伤性面瘫
T83.501	阴茎假体植入感染
T83.901	取除输尿管支架管
T84.001	人工髋关节置换术后功能障碍
T84.002	髋关节假体过大
T84.003	髋关节假体松动
T84.201	脊柱内固定装置障碍
T84.202	骨折内固定装置障碍
T84.501	髋关节假体植入感染
T84.601	脊柱内固定物植入感染
T84.602	骨折内固定物植入感染
T84.701	颅骨人工骨板植入感染
T84.801	脊柱内固定术后疼痛
T84.802	骨折内固定术后疼痛
T85.201	取除人工晶体
T85.202	人工晶体脱位
T85.301	眼前房导管脱落
T85.302	眼前房硅油积存
T85.701	腹腔插管感染
T85.702	人工耳蜗植入感染
T85.703	巩膜硅胶带环扎植入感染
T85.901	取除发音钮
T85.902	人工耳蜗电极拔除术
T86.101	肾移植后排异反应
T86.102	移植肾排斥
T86.103	移植肾萎缩
T86.104	移植肾功能衰竭
T86.105	移植肾功能不全
T86.106	移植肾死亡
T81.203	肠穿孔由于内窥镜操作
T81.204	操作中神经损伤
T81.205	操作中输尿管损伤
T81.206	操作中肠损伤
T81.207	操作中腹壁血管破裂
T81.208	操作中胆管损伤
T81.209	操作中膀胱撕裂
T81.210	操作中肌腱断裂
T81.301	手术后伤口裂开
T81.401	手术后腹内脓肿
T81.402	手术后伤口感染
T81.403	膝关节术后感染
T81.404	手术后腹膜炎
T81.405	手术后胸腔感染
T81.406	手术后盆腔脓肿
T81.407	手术后发热
T81.501	手术后子宫内异物遗留
T81.502	手术后伤口异物
T81.801	手术后皮下气肿
T82.201	人工心脏瓣膜失常
T82.701	起搏器植入感染
T82.801	心脏起搏器失灵
T82.802	人工血管血栓形成
T83.301	子宫内避孕器嵌顿
T80.001	输血时空气栓塞
T80.201	腹膜透析腹膜炎
T80.203	输液后感染
T80.501	血清性过敏反应
T80.601	血清病
T80.602	血清性荨麻疹
T80.603	血清病样反应
T80.901	输血反应
T81.002	手术后颅内血肿
T81.003	手术后视网膜出血
T81.005	手术后扁桃体出血
T81.006	手术后胃吻合口出血
T81.007	手术后肠吻合口出血
T81.008	手术后胆管出血
T81.009	手术后切口血肿
T81.010	手术后阴道残端出血
T81.011	手术后膀胱出血
T81.012	手术后肠出血
T81.013	手术后腹腔出血
T81.014	手术后前列腺出血
T81.015	手术后眼前房出血
T81.016	拔牙创口出血
T81.101	手术后休克
T81.201	操作时的意外穿透或撕裂
T81.202	操作中膀胱损伤
T69.102	耳廓冻疮
T69.103	足冻疮
T70.202	高原性高血压
T75.001	雷击
T75.101	溺水
T75.102	急性肺水肿由于溺水
T75.301	晕动病
T75.401	电击伤
T78.101	食物过敏反应
449	过敏性休克
T78.202	赫克斯海默氏反应
T78.302	胃肠型荨麻疹
T78.303	耳廓血管神经性反应
T79.201	创伤后继发性出血
T79.401	创伤性休克
T79.601	福耳克曼氏缺血性挛缩
T79.701	创伤性皮下气肿
T79.801	创伤性脑膜炎
T79.802	间区综合征
T60.002	有机磷中毒
T62.901	扁豆中毒
T63.001	毒蛇咬伤
T63.401	蜂螫伤
T65.801	加湿器消毒剂中毒
T66.X01	放射性损伤
T67.001	热性发热
T69.101	冻疮
T56.001	铅中毒
T56.002	铅中毒性脑病
1279	一氧化碳中毒
T45.501	新抗凝片中毒
T46.301	硝酸甘油中毒
T46.551	复降片中毒
T49.001	甲酚中毒
T49.002	来苏中毒
1277	药物中毒
T42.405	佳静安定中毒
T43.001	多虑平中毒
T43.502	安宁意外中毒
T44.301	吡啶斯的明中毒
T28.701	消化道酸性烧伤
T36.101	先锋霉素中毒
T36.301	红霉素中毒
T36.501	庆大霉素中毒
T38.001	医源性类固醇性糖尿病
T40.401	杜冷丁中毒
T42.101	卡马西平中毒
T42.301	速可眠中毒
T42.402	硝基安定中毒
T20.401	耳化学性烧伤
T23.001	手烧伤
T26.001	眼睑烧伤
T26.101	角膜烧伤
T26.301	巩膜烧伤
T26.401	眼球烧伤
T26.601	角膜和结膜碱性烧伤
T26.602	角膜碱性烧伤
T26.603	角膜酸性烧伤
T26.604	结膜酸性烧伤
T26.605	角膜化学性烧伤
T26.901	眼球碱性烧伤
T26.902	眼球酸性烧伤
T27.701	呼吸道化学性烧伤
T28.501	喉化学性烧伤
T28.502	咽化学性烧伤
T13.001	腿挫伤
T14.001	皮下血肿
T14.002	肢体擦伤伴异物
T14.003	皮肤挫伤
T16.X01	耳道异物
T16.X02	中耳异物
T17.001	上颌窦异物,经腔口进入
T17.002	筛窦异物
T17.003	鼻窦异物,经腔口进入
T17.101	鼻内异物
T17.102	鼻腔异物
T17.201	鼻咽异物
T17.202	咽部异物,经腔口进入
T17.401	气管异物,经腔口进入
T17.501	支气管异物,经腔口进入
T17.901	异物吸入性窒息
T18.101	食管异物,经腔口进入
T18.201	胃内异物,经腔口进入
T18.301	十二指肠异物
T18.901	消化道异物,经腔口进入
T19.001	尿道异物,经腔口进入
T19.101	膀胱异物,经腔口进入
T19.201	阴道异物,经腔口进入
T20.001	耳烧伤
T20.002	面部烧伤
S99.901	足损伤
T00.901	多处挫伤
T01.301	下肢多处裂伤
T01.901	多处开放性外伤
T02.101	躯干多发性骨折
T02.201	单侧上肢多发性骨折
T02.311	单侧下肢多发性开放性骨折
T02.601	上肢伴下肢骨骨折
T02.701	骨盆伴下肢骨骨折
T02.702	上肢、下肢伴肋骨骨折
T02.801	面骨伴下肢骨骨折
T02.802	面骨伴上下肢骨骨折
T04.201	上肢挤压伤
T04.301	下肢挤压伤
T04.801	全身性挤压伤
T05.201	双臂创伤性截断
T06.501	开放性胸腹损伤
T08.X01	脊柱骨折伴截瘫
T09.301	创伤性截瘫
T09.302	脊髓损伤
T11.102	上肢撕脱伤
T11.501	上肢开放性外伤累及肌腱
S91.301	足部裂伤
S91.302	足开放性外伤
S92.001	跟骨骨折
S92.011	跟骨开放性骨折
S92.101	距骨骨折
S92.102	距骨颈骨折
S92.103	距骨体骨折
S92.201	骰骨骨折
S92.202	楔状骨骨折(足)
S92.203	足舟状骨骨折
S92.301	跖骨骨折
S92.311	跖骨开放性骨折
S92.501	趾骨骨折
S92.511	趾骨开放性骨折
S93.001	踝关节半脱位
S93.002	踝关节脱位
S93.003	胫距关节脱位
S93.004	踝关节开放性脱位
S93.101	趾关节脱位
S93.301	舟骨周脱位(足)
S93.302	跖骨脱位
S93.401	踝关节扭伤
S93.402	胫腓韧带撕裂(远端)
S96.901	足开放性外伤累及肌腱
S96.902	趾肌腱断裂
S96.903	趾开放性外伤累及肌腱
Y52.252	奎尼丁药物反应
M80000/3/2	溃疡癌变
Y43.451	雷公滕药物反应
Y41.151	雷米封药物反应
Y53.052	雷尼替丁药物反应
S83.002	髌骨半脱位
S83.101	膝关节脱位
S83.401	膝关节内侧副韧带扭伤
S83.501	膝十字韧带断裂
S83.601	膝关节扭伤
S83.602	膝关节损伤
S84.001	胫后神经损伤
S84.002	胫神经损伤
S84.101	腓神经损伤
S85.801	创伤性胫后动静脉损伤
S86.001	跟腱断裂
S86.901	小腿肌断裂
S86.902	小腿开放性外伤累及肌腱
S87.801	小腿挤压伤
S89.901	小腿损伤
S90.301	足挫伤
M83340/0/1	胶样腺瘤
Y40.353	洁霉素药物反应
Y45.951	解热镇痛剂药物反应
Y57.852	金莲花药物反应
Y48.151	静脉内麻醉剂类反应
M80310/3	巨细胞癌
X59.953	军训中意外损伤
Y28.951/1	砍伤
Y59.351/2	抗破伤风类药物反应
Y19.951	苛性和腐蚀性物质引起烧伤
M83200/3	颗粒细胞癌
Y42.051	可的松药物反应
Y56.053	克霉唑药物反应
Y42.951	激素药物反应
M93700/3	脊索瘤
W88.953	加速器引起烧伤
Y53.051	甲腈咪胍药物反应
Y42.352	降糖灵药物反应
Y43.352	化疗药物反应
Y56.852	化妆品类过敏
M83230/0	混合细胞腺瘤
M90850/3	混合性生殖细胞瘤
X95.951	火器和爆炸物加害
M89820/0	肌上皮瘤
Y63.251	放射治疗过量
M88300/1	非典型性纤维组织细胞瘤
Y49.352	非那根药物反应
X12.951	沸水烫伤
Y41.852	呋喃坦啶药物反应
Y40.852	氟哌酸药物反应
Y55.551	复方阿斯匹林药物反应
Y52.552	复方降压药物反应
X59.951	复合性外伤
M88220/1	腹部纤维瘤病
Y45.851	感冒药物反应
W54.951	狗咬伤
392	骨折
M82110/3	管状腺癌
X20.951	海蛇咬伤
Y40.851	合霉素药物反应
Y04.951	斗殴或争吵中损伤
Y04.952	斗殴中被杀
X26.951	毒鱼咬伤
Y51.952	多巴胺药物反应
M90720/3	多胚瘤
Y57.851	多种药物反应
M95800/3	恶性颗粒细胞瘤
M80110/3	恶性上皮瘤
M95600/3	恶性神经鞘瘤
M81530/3	恶性胃泌素瘤
21	恶性肿瘤
X80.951	从高处跳下自杀
Y01.951	从高处推下的谋害
M81460/0	单形性腺瘤
Y57.553	胆影葡安药物反应
M88200/0	弹力纤维瘤
173	刀刺伤
Y52.051	地高辛药物反应
Y48.353	地卡因药物反应
Y56.052	碘药物反应
Y56.051	碘药物外用反应
Y57.554	碘油造影剂药物反应
T75.451	电流引起的事故
M84010/3	顶泌性腺癌
Y51.951	麻黄素药物反应
Y48.451	麻醉药物反应
Y40.354	麦迪霉素药物反应
Y57.552	CT造影剂药物反应
Y45.351	保泰松药物反应
Y41.451	吡喹酮药物反应
Y41.854	吡哌酸药物反应
Y41.152	吡嗪酰胺药物反应
M80700/3/1	表皮样癌
M81430/3	表浅扩散性腺癌
Y54.851	别嘌呤醇药物反应
Y83.951	产科病人术后并发症
Y43.351	长春新碱中毒
Y52.551	利血平药物反应
Y41.851	痢特灵药物反应
M90400/0	良性滑膜瘤
M90800/0	良性畸胎瘤
M80110/0	良性上皮瘤
M80000/0	良性肿瘤
M91700/3	淋巴管肉瘤
M80820/3/1	淋巴上皮癌
M80700/3/2	鳞状细胞癌
M80520/0	鳞状细胞乳头状瘤
M80700/2	鳞状细胞原位癌
Y45.852	鲁米那药物反应
Y54.951	氯化钾药物反应
Y41.251	氯奎药物反应
Y40.352	螺旋霉素药物反应
Y09.951	其他或未特指手段加害
Y57.751	其他特指的维生素类药物反应
X85.951	其他特指的药物和药剂加害
Y83.851	其他特指术后并发症
Y42.052	强的松药物反应
W77.951	墙壁倒塌伤
W45.952	切割和穿刺器械引起的事故
W45.953	切割伤
Y57.251	青霉胺药物反应
Y52.451	巯甲丙脯酸药物反应
Y43.353	门冬酰安药物反应
Y42.451	棉酚药物反应
Y41.853	灭滴灵药物反应
Y43.051	灭吐灵(胃复安)药物反应
M90710/3	内胚窦瘤
M85040/0	囊内乳头状腺瘤
M90640/3	生殖细胞瘤
Y19.952	石灰烧伤
W77.952	石块砸伤
D35.051	嗜铬细胞瘤
Y45.853	去痛药药物反应
X12.952	热液气引起烧伤
W93.951	人为冷源效应
Y56.451	牛皮癣素软膏药物过敏
Y52.351	潘生丁[双嘧哌胺醇]药物反应
M89810/3	胚胎性癌肉瘤
Y58.451	破伤风类药物反应
Y43.052	扑尔敏药物反应
Y45.551	扑热息痛药物反应
Y48.351	普鲁卡因药物反应
W55.951	其他哺乳动物咬伤
X59.954	其他和未特指的环境和意外原因
22993	肉瘤
M80520/3/1	乳头状鳞状细胞癌
M92200/3/2	软骨粘液肉瘤
Y51.751	噻吗心安药物反应
W56.851	鲨鱼咬伤
M82010/3	筛状癌
M88910/0	上皮样平滑肌瘤
D36.153	神经节母细胞瘤
M95400/3	神经纤维肉瘤
Y51.551	肾上腺素药物反应
M83110/1	肾上腺样瘤
Y40.452	土霉素药物反应
Y83.953	胃肠道术后并发症
M90600/3	无性细胞瘤
W79.951	吸入或咽下食物引起呼吸道梗阻
W80.951	吸入或咽下痰或异物引起的呼吸道梗阻
M80000/3/3	息肉恶性变
Y65.051	输血中血型配错
Y64.051/2	输液器械的污染
Y61.051	手术中遗留体内异物
Y08.952	人咬伤
M87110/0	血管球瘤
M88110/0	纤维粘液瘤
Y83.952	术后晚期并发症
W77.953	树木砸伤
Y54.351	双氢克尿噻药物反应
X26.952	水母蜇伤
Y19.953	酸引起烧伤(任何种类)
1050	髓母细胞瘤
Y42.151	他巴唑药物反应
X71.951	跳河自杀
Y45.854	痛可宁药物反应
M82200/0/3	腺瘤病
M85500/3	腺泡细胞癌
M89330/3	腺肉瘤
M80750/3/2	腺样鳞状细胞癌
M82000/3/2	腺样囊性癌
Y45.352	消炎痛药物反应
Y52.353	硝酸甘油药物反应
Y52.352	硝酸异山梨醇酯药物反应
Y52.251	心律调节剂药物反应
Y52.151	心痛定药物反应
M91410/0	血管角质瘤
M84900/3	印戒细胞癌
Y57.854	营养药类反映
M88320/0/2	硬化性血管瘤
M81410/3	硬腺癌
X78.951	用刀或锐器自杀
W74.951	游泳时溺水
M91200/3	血管肉瘤
M91500/3/2	血管外皮肉瘤
Y08.951	咬伤谋害
Y57.952	药物反应
Y84.951	医疗并发症
Y69.X52	医疗中意外损伤
Y43.452	依木兰药物反应
M89320/0	腺肌瘤
W50.351	在体育运动中拳击伤
Y57.551	造影剂药物反应
Y56.851	樟脑酊药物反应
Y52.253	乙胺碘呋酮药物反应
X91.951	以悬吊和绞勒谋害
W44.951	异物进入其他腔口
X04.951	易燃材料着火
Y57.853	益母草药物反应
Y86.X52	意外损伤的晚期效应
Y40.751	制菌霉素药物反应
1427	肿瘤
Y48.352	周围神经和神经丛阻滞麻醉类药物反应
X29.953	有毒动物咬伤
X26.953	有毒海生动物或植物的中毒
Y44.751	右旋糖酐药物反应
X70.951	自缢
X97.951	纵火谋害
Y36.451	作战中枪伤损伤
M80700/6	转移性鳞状细胞癌
M88900/6	转移性平滑肌肉瘤
M80500/6	转移性乳头状癌
A01.003+	伤寒性脑膜炎
A01.101	甲型副伤寒
A01.201	乙型副伤寒
A01.301	丙型副伤寒
A01.401	副伤寒
A02.002	C群沙门氏菌肠炎
A02.003	阿哥拉沙门氏菌肠炎
A02.004	沙门氏菌性肠炎
A02.005	沙门氏菌伦敦血清型肠炎
A02.006	沙门氏菌胃肠炎
A02.007	鼠伤寒沙门氏菌性肠炎
A02.008	婴儿沙门氏菌肠炎
A02.101	沙门氏菌败血症
A02.102	沙门氏菌鼠伤寒伴有败血症
A02.201+	沙门氏菌性肺炎
A02.202+	沙门氏菌性关节炎
A02.203+	沙门氏菌性脑膜炎
A04.901	肠道感染
A04.903	感染性腹泻
A03.951	细菌性结肠炎
A05.001	葡萄球菌性食物中毒
A05.101	肉毒中毒
A05.201	出血性坏死性肠炎
A02.902	鼠伤寒沙门氏菌感染
A02.903	沙门氏菌属食物中毒
A03.001	什密氏志贺菌痢疾
A03.101	弗氏志贺菌痢疾
A03.201	鲍氏志贺菌痢疾
A03.301	宋内氏志贺菌痢疾
A03.801	不定型志贺菌痢疾
A03.802	菌痢混合感染
M82900/0/1	嗜酸性腺瘤
A01.001	伤寒
A01.002	伤寒杆菌性败血症
A03.904	慢性隐伏型菌痢
A04.001	新生儿肠病原性大肠埃希氏菌肠炎
A04.002	肠病原性大肠埃希氏菌肠炎
A04.101	肠毒性大肠埃希氏菌肠炎
A04.102	新生儿肠毒性大肠埃希氏菌肠炎
A04.201	侵袭性大肠埃希氏菌肠炎
A04.202	新生儿侵袭性大肠杆菌肠炎
A04.301	出血性大肠埃希氏菌肠炎
A04.302	新生儿出血性大肠杆菌肠炎
A04.401	大肠埃希氏杆菌性肠道感染
A04.402	新生儿大肠杆菌肠炎
A04.403	新生儿粘附性大肠杆菌肠炎
A04.404	粘附性大肠杆菌肠炎
A04.701	难辨梭状芽胞杆菌肠炎
A04.801	吡邻单胞菌肠炎
A04.802	变形杆菌性肠炎
A04.804	肠道厌氧菌感染
A04.807	金黄色葡萄球菌性肠炎
A04.808	绿脓杆菌性肠炎
A04.809	难辨芽胞杆菌肠炎
A04.810	嗜水气单胞菌肠炎
A07.001	小袋虫病
A07.301	等孢子球虫病(球虫病)
A07.801	肠道滴虫病
A07.802	肉孢子虫病
A08.101	诺瓦克病毒肠炎
A08.201	腺病毒肠炎
A08.401	病毒性肠炎
A08.402	病毒性胃肠炎
A15.001	肺结核,显微镜检证实
A15.501	肺门淋巴结结核,已证实
A16.201	肺干酪性结核
251	肺结核
A05.203	急性出血性坏死性肠炎
A05.202	急性坏死性肠炎
A03.902	慢性细菌性痢疾急性发作
A03.903	慢性迁延型细菌性痢疾
A16.902	结核感染
A17.001+	结核性脊膜炎
A17.002+	结核性脑脊髓膜炎
A17.003+	结核性脑膜炎
A17.151+	脑膜结核瘤
A17.801+	结核性脑膜脑炎
A17.802+	结核性脑脓肿
A17.803+	结核性脑肉芽肿
A16.302	结核性支气管淋巴瘘
A05.301	副溶血弧菌性食物中毒
A05.901	细菌性食物中毒
A06.001	阿米巴性肠炎
A06.002	阿米巴性结肠炎
A06.003	阿米巴性痢疾
A06.005	急性阿米巴痢疾
A06.101	慢性肠道阿米巴病
A06.201	非痢疾性阿米巴结肠炎
A06.301	阿米巴性肉芽肿(阿米巴瘤)
A06.401	阿米巴性肝脓肿
A06.501+	阿米巴性肺脓肿
A06.801+	肺阿米巴病
A06.502+	肝肺阿米巴脓肿
A06.701	阿米巴性皮肤溃疡
A16.303	胸壁淋巴结结核
A16.305	支气管淋巴结结核
A16.402	会厌结核
A16.404	孤立性气管结核
A16.405	孤立性气管支气管结核
A16.501	结核性干性胸膜炎
A16.503	结核性渗出性胸膜炎
611	结核性胸膜炎
A16.804	膈结核
A16.806	咽部结核
A16.807	纵膈结核瘤
A18.018+	脊椎结核并椎旁脓肿
A18.019+	关节结核性脓肿(关节寒性脓肿)
A18.020+	结核性脊柱后凸
A18.021+	关节结核
A18.022+	肘关节结核
A18.023+	髋关节结核
A18.024+	髋结核性滑膜炎
A18.025+	踝关节结核
A18.026+	耻骨结核
A18.027+	肋骨结核
A18.028+	膝关节结核
A18.029+	膝结核性滑膜炎
A18.031+	肱骨结核
A18.032+	股骨结核
A18.033+	趾骨结核
A18.035+	骨结核
A18.034+	肢体骨结核
A17.804+	结核性脑炎
A17.805+	结核性脑脊髓膜炎(硬脊膜外)
A17.806+	脑结核瘤
A17.807+	中枢神经系统结核
A18.001+	鼻骨结核
A18.002+	腭骨结核
A18.003+	颌骨结核
A18.004+	乳突结核
A18.005+	下颌结核
A18.006+	颧骨结核
A18.036+	尺骨结核
A18.037+	腓骨结核
A18.039+	跟骨结核
A18.038+	胫骨结核
A18.040+	腰部结核性窦道
A18.041+	结核性关节炎
A18.042+	第三楔骨结核
A18.043+	肌腱结核
A18.044+	掌骨结核
A18.045+	其他骨结核
A18.101	泌尿生殖系结核
A18.102+	膀胱结核
A18.103	泌尿系结核
A18.104+	子宫内膜结核
A18.105+	附睾结核
A18.106+	睾丸结核
A18.007+	颈椎结核
A18.008+	肩关节结核
A18.009+	腕关节结核
A18.010+	胸椎结核
A18.011+	腰椎结核
A18.013+	脊柱结核性截瘫(波特氏截瘫)
A18.012+	跖趾关节结核
A18.014+	骶髂关节结核
A18.046+	脊柱结核
A18.016+	脊柱结核性脓肿
A18.017+	滑膜结核
A18.409	皮下组织结核性窦道
A18.410	臀部结核
A18.411	寻常性狼疮
A18.501	眼结核
A18.108+	子宫颈结核
A18.109+	阴茎结核
A18.110+	卵巢结核
A18.111+	前列腺结核
A18.112+	肾结核
A18.113+	结核性肾脓肿
A18.114+	输精管结核
A18.115+	输卵管结核
A18.116+	结核性输尿管狭窄
A18.117+	输尿管结核
A18.118+	精囊结核
A18.201	腹股沟淋巴结核
A18.202	颌下淋巴结结核
A18.203	结核性淋巴管炎
A18.204	颈部淋巴结结核
A18.205	颏下淋巴结结核
A18.206	淋巴结核
A18.207	腮腺淋巴结核
A18.208	锁骨上淋巴结核
A18.210	周围淋巴结结核
A18.301+	肠结核
A18.302+	肠系膜结核
A18.510+	脉络膜结核瘤
A18.511+	视神经结核
A18.512+	视网膜结核
A18.601	外耳道结核
A18.602	中耳结核
A18.603+	结核性中耳炎
A18.701+	肾上腺结核
A18.801	肺外结核
A18.802	乳腺结核
A18.803+	舌结核
A18.303+	肠系膜淋巴结结核
A18.304+	腹膜结核
A18.305+	结核性肛瘘
A18.306+	髂窝结核
609	结核性腹膜炎
A18.308	腹膜后淋巴结结核
A18.309+	腹腔结核
A18.310	腹腔淋巴结核
A18.311	肝门淋巴结核
A18.312	结核性腹水
A18.401	播散性粟粒性狼疮
A18.402	腹壁结核
A18.403	腹部结核性窦道
A18.405	结核性皮肤脓肿
A18.406	酒渣样结核疹
A18.407	皮肤和皮下组织结核
A18.408	皮肤结核
A18.812+	结缔组织结核
A18.813+	结核性腹主动脉炎
A18.815+	结核性心包积液
A18.818+	结核性心内膜炎
A18.819+	咀嚼肌结核
A18.820+	脾结核
A18.821+	腮腺结核
A18.823+	胃结核
A18.824+	胸大肌结核
A18.825+	牙龈结核
A18.826+	腰部结核性脓肿
A18.827+	腰大肌结核性脓肿
A18.828+	腰肌结核
A18.829+	胰腺结核
A19.001	急性粟粒性肺结核
A18.502	眼眶结核
A18.503+	巩膜结核
A18.504+	角膜结核
A18.505+	结核性视神经脉络膜炎
A18.506+	结核性葡萄膜炎
A18.507+	结核性视网膜静脉周围炎
A18.508+	结膜结核
A18.509+	脉络膜结核
A37.902+	百日咳合并肺炎
A38.X01	猩红热
A39.001+	脑膜炎球菌性脑膜炎
A39.002+	脑脊膜炎
A39.401	脑膜炎球菌性败血症
A40.301	肺炎球菌性败血症
A19.801	慢性粟粒性肺结核
A19.802	亚急性粟粒性肺结核
A19.901	粟粒性结核病
A19.902	结核性多浆膜炎
A19.903	进行性恶性多发性浆膜炎
A21.901	兔热病
A22.101	肺炭疽
A22.102+	炭疽肺炎
A18.804	足结核
A18.805+	垂体结核
A18.806+	唇结核
A18.807+	胆囊结核
A18.808+	肝结核
A18.809+	颌下腺结核
A18.810+	肌结核
A18.811+	甲状腺结核
A41.503	大肠杆菌性败血症
A41.504	革兰氏阴性杆菌败血症
A23.902+	布鲁氏杆菌性关节炎
A23.903+	布鲁氏杆菌性眼色素膜炎
A27.801	流感伤寒型钩端螺旋体病
A27.802	南方钩端螺旋体感染
A30.101	类结核型麻风
A30.501	瘤型麻风
A31.001	肺非典型分支杆菌病
A31.002	肺分支杆菌感染
A33.X01	新生儿破伤风
A36.201	喉白喉
A36.301	皮肤白喉
A36.801	播散性白喉
A36.802+	白喉性多神经炎
A36.803+	白喉性心肌炎
A43.001+	肺诺卡氏菌病
23012	丹毒
A48.001	气性坏疽
A48.101	军团病
A48.802	坏死性杆菌病
A49.001	金黄色葡萄球菌感染
A49.002	葡萄球菌感染
A49.101	肺炎球菌感染
A49.102	链球菌感染
A49.103	链球菌感染综合症
A49.201	流感嗜血杆菌感染(H.流感杆菌)
A49.301	支原体感染
A49.801	变形杆菌感染
A49.802	大肠埃希氏杆菌感染(大肠杆菌)
A49.803	弗里德兰德氏杆菌感染(肺炎杆菌)
A49.804	假单胞菌感染
A49.805	克雷白氏肺炎杆菌感染
A49.806	克雷白氏杆菌感染
A49.807	雷极氏普鲁菲登氏菌感染
A49.808	绿脓杆菌感染
A49.809	螺旋杆菌感染
A41.202	葡萄球菌性败血症
A41.501	变形杆菌性败血症
A41.502	大肠埃希氏杆菌性败血症
A52.701	梅毒瘤
A52.702+	二期梅毒性肝炎
A52.801	晚期潜伏性梅毒
A53.001	隐性梅毒
A54.001	淋菌性阴道炎
A54.201+	淋球菌性盆腔炎
A54.203+	淋球菌性前列腺炎
A54.801	其他特指部位的淋球菌感染
A54.802+	淋球菌性肺炎
A49.810	其他特指的细菌感染
A41.505	假单胞菌性败血症
A41.506	克雷白氏杆菌性败血症
A41.507	枯草杆菌性败血症
A41.508	绿脓杆菌性败血症
A41.509	粘球杆菌性败血症
A41.802	类酵母菌败血症
A41.803	霉菌性败血症
A41.804	其他特指的败血症
A41.805	真菌败血症
A42.001	肺放线菌病
A42.201	颈面部放线菌病
A42.801	乳腺放线菌病
A54.803+	淋球菌性腹膜炎
A49.811	沙雷氏菌感染
A49.812	幽门螺旋杆菌感染
A49.902	细菌性感染
A50.301+	点状角膜炎
A50.302+	梅毒性深层点状角膜炎
