ICD10编码	ICD10副编码	ICD10名称	拼音助剂码
G93.801		闭锁综合征	BSZHZ
G93.802		后天性脑畸形	HTXNJX
G93.803		大脑钙化	DNGH
G93.804		颅内胆脂瘤	LNDZL
G93.805		大脑去皮层状态	DNQPCZT
G93.806		颅内积气	LNJQ
G93.807		脑钙化	NGH
G93.808		放射性脑病	FSXNB
G93.809		脑皮质胶质细胞增生	NPZJZXBZS
G93.810		脑软化	NRH
G93.811		脑室扩张	NSKZ
G93.812		丘脑功能衰竭	QNGNSJ
G93.813		丘脑红核综合征	QNHHZHZ
G93.814		丘脑综合征	QNZHZ
G93.815		去大脑强直	QDNQZ
G93.816		视丘反应综合征	SQFYZHZ
G82.201		不全截瘫	BQJT
G82.202		陈旧性脊柱骨折伴截瘫	CJXJZGZBJT
G82.203		陈旧性腰椎骨折伴截瘫	CJXYZGZBJT
G82.204		高位截瘫	GWJT
G82.205		截瘫	JT
G82.501		四肢不全瘫	SZBQT
G82.502		四肢瘫	SZT
G83.101		下肢单瘫	XZDT
G83.201		上肢单瘫	SZDT
G83.401		马尾综合征	MWZHZ
G83.801		布朗-塞卡尔氏综合征	BL-SKESZHZ
G83.802		托德氏（Todd氏）麻痹	TDSTODDSMB
G83.803		完全性瘫痪	WQXTH
G83.901		痉挛性瘫痪	JLXTH
G83.902		瘫痪	TH
G90.001		颈动脉窦晕厥	JDMDYJ
G90.201		霍纳氏综合征	HNSZHZ
G90.301		多系统变性	DXTBX
G90.302		多系统变性病	DXTBXB
G90.303		夏伊—德雷格尔综合征（原发性直立性低血压）	XYDLGEZHZYFX
G90.801		交感神经炎	JGSJY
G90.901		植物神经功能紊乱	ZWSJGNWL
G91.001		交通性脑积水	JTXNJS
G91.101		梗阻性脑积水	GZXNJS
G91.102		中脑水管梗阻	ZNSGGZ
G91.301		外伤后脑积水	WSHNJS
G91.801		耳源性脑积水	EYXNJS
G91.901		脑积水	NJS
G91.902		硬脑膜下积水	YNMXJS
G91.903		硬脑膜下积液	YNMXJY
G93.817		胰腺脑病	YXNB
G80.902		新生儿脑性麻痹	XSENXMB
G81.901		高血压性偏瘫	GXYXPT
G81.902		脑血管病性偏瘫	NXGBXPT
G81.903		偏瘫	PT
G81.904		轻偏瘫	QPT
G93.818		中枢性呼吸衰竭	ZSXHXSJ
G93.819		蛛网膜憩室	ZWMQS
G93.901		脑干病变	NGBB
G93.902		脑干病变(脑干功能衰竭)	NGBBNGGNSJ
G93.903		脑假瘤	NJL
G93.904		脑损害	NSH
G93.905		脑肿物	NZW
G93.906		器质性脑损害	QZXNSH
G95.001		脊髓空洞症	JSKDZ
G95.101		急性脊髓梗塞	JXJSGS
G95.102		脊髓出血	JSCX
G95.103		脊髓动脉血栓	JSDMXS
G95.104		脊髓前动脉供血不足	JSQDMGXBZ
G95.105		脊髓前动脉血栓形成	JSQDMXSXC
G95.106		脊髓缺血	JSQX
G95.803		脊神经根囊肿	JSJGNZ
G95.804		脊髓内囊肿	JSNNZ
G95.805		脊髓前角病变	JSQJBB
G95.806		脊髓萎缩	JSWS
G95.807		脊髓膀胱	JSPG
G95.808		脊髓硬化	JSYH
G95.809		腰骶神经根囊肿	YDSJGNZ
G95.810		硬脊膜内囊肿(脊髓)	YJMNNZJS
G95.811		椎管内囊肿	ZGNNZ
G95.812		脊髓软化	JSRH
G95.901		脊髓病	JSB
G95.902		脊髓占位性病变	JSZWXBB
G95.903		椎管内占位性病变	ZGNZWXBB
G96.001		脑脊液鼻漏	NJYBL
G96.002		脑脊液耳漏	NJYEL
G96.003		脑脊液耳溢	NJYEY
G96.004		脑脊液漏	NJYL
G96.005		手术后脑脊液漏	SSHNJYL
G96.006		手术后脑脊液瘘	SSHNJYL
G96.101		脊髓粘连	JSZL
G96.102		脊髓蛛网膜粘连	JSZWMZL
G96.103		马尾粘连	MWZL
G96.104		脑室粘连	NSZL
G96.105		髓外硬膜外囊肿	SWYMWNZ
G96.106		圆锥内表皮囊肿	YZNBPNZ
G96.107		蛛网膜粘连	ZWMZL
G96.801		后天性脑膜膨出	HTXNMPC
G96.901		脑脊髓病	NJSB
G96.902		脑脊髓神经病	NJSSJB
G96.903		脑脊髓神经根病	NJSSJGB
G96.904		中枢神经系统并发症	ZSSJXTBFZ
G97.101		低颅压性头痛,腰穿后	DLYXTTYCH
G97.201		脑室分流术后颅内出血	NSFLSHLNCX
G97.801		创伤后脑膜缺损	CSHNMQS
G97.802		发生于操作中或操作后的缺氧性脑损害	FSYCZZHCZH
G97.803		手术后脑膜膨出	SSHNMPC
G97.804		神经系统手术后脑积水	SJXTSSHNJS
G97.805		手术后颅内出血	SSHLNCX
G98  01		神经系统病变	SJXTBB
H00.001		睑板腺炎	JBXY
H00.002		睑腺炎(麦粒肿)	JXYMLZ
H00.003		眼睑蜂窝织炎	YJFWZY
H00.004		眼睑脓肿	YJNZ
H00.101		睑板腺囊肿(霰粒肿)	JBXNZSLZ
H01.001		睑(缘)炎	JYY
H01.002		新生儿睑缘炎	XSEJYY
H01.101		眼睑皮炎	YJPY
H01.801		眼睑瘘	YJL
H01.802		眼睑肉芽肿	YJRYZ
H01.803		眼睑溃疡	YJKY
H01.804		眼睑炎性假瘤	YJYXJL
H01.901		眼睑炎	YJY
H02.001		瘢痕性倒睫	BHXDJ
H02.002		眼睑倒睫	YJDJ
H02.003		眼睑内翻	YJNF
H02.101		睑外翻	JWF
H02.102		老年性睑外翻	LNXJWF
H02.103		麻痹性睑外翻	MBXJWF
H02.201		兔眼	TY
H02.301		睑皮肤松弛	LPFSC
H02.302		眼睑皮肤松垂	YJPFSC
H02.401		上睑下垂	SJXC
H02.501		睑疤痕性闭合不全	JBHXBHBQ
H02.502		睑裂闭合不全	JLBHBQ
H02.503		睑裂狭小	JLXX
H02.504		睑缘粘连	JYZL
H02.505		上睑退缩症	SJTSZ
H02.506		眼睑闭锁	YJBS
H02.507		眼睑粘连性疤痕	YJZLXBH
H02.601		眼睑黄斑瘤	YJHBL
H02.701		睑板腺脂肪变性	JBXZFBX
H02.702		眶脂肪脱垂	KZFTC
H02.703		眉毛脱落	MMTL
H02.704		眉缺损	MQS
G95.107		脊髓前动脉综合征	JSQDMZHZ
G95.201		脊髓受压	JSSY
G95.202		脊髓压迫症	JSYPZ
G95.801		放射性脊髓病	FSXJSB
G95.802		肝性脊髓病	GXJSB
H02.705		眼睑坏死	YJHS
H02.801		陈旧性眼睑异物	CJXYJYW
H02.802		后天性内眦畸形	HTXNCJX
H02.803		后天性外眦畸形	HTXWCJX
H02.804		眼睑水肿	YJSZ
H02.805		烧伤后睑畸形	SSHJJX
H02.806		烧伤后眉毛缺损	SSHMMQS
H02.807		眼睑出血	YJCX
H02.808		眼睑黑变病	YJHBB
H02.809		眼睑后天性畸形	YJHTXJX
H02.810		眼睑囊肿	YJNZ
H02.811		眼睑皮脂腺囊肿	YJPZXNZ
H02.812		眼眦后天畸形	YCHTJX
H02.901		眼睑新生物	YJXSW
H02.902		眼睑肿物	YJZW
H04.104		眼干燥综合征	YGZZHZ
H04.201		泪溢	LY
H04.301		化脓性泪囊炎	HNXLNY
H04.302		急性泪囊炎	JXLNY
H04.303		泪囊脓肿	LNNZ
H04.304		泪囊炎	LNY
H04.305		泪小管炎	LXGY
H04.401		慢性泪囊炎	MXLNY
H04.501		鼻泪管闭锁	BLGBS
H04.502		鼻泪管阻塞	BLGZS
H04.503		泪道梗阻	LDGZ
H04.504		泪道狭窄	LDXZ
H04.505		泪道阻塞	LDZS
H04.506		泪小管阻塞	LXGZS
H04.601		泪囊瘘	LNL
H04.602		泪囊囊肿	LNNZ
H04.603		泪囊粘液囊肿	LNZYNZ
H04.801		泪小管断裂	LXGDL
H05.001		眶蜂窝织炎	KFWZY
H05.002		眶内脓肿	KNNZ
H05.003		球筋膜炎	QJMY
H05.101		眶内肉芽肿	KNRYZ
H05.102		眶内炎性假瘤	KNYXJL
H05.103		眼眶非特异性炎症	YKFTYXYZ
H05.104		眼眶炎性肉芽肿	YKYXRYZ
H05.105		眼球后炎症	YQHYZ
H05.201		眶部出血	KBCX
H05.202		眶内血肿	KNXZ
H05.203		眼球突出	YQTC
H05.401		眼球陷没	YQXM
H05.501		眶内陈旧性异物	KNCJXYW
H05.801		眶部囊肿	KBNZ
H05.802		眶部粘液囊肿	KBZYNZ
H05.803		眶内上皮样囊肿	KNSPYNZ
H05.804		眼眶假瘤	YKJL
H05.901		眶内占位性病变	KNZWXBB
H05.902		眶内肿物	KNZW
H10.101		变应性结膜炎	BYXJMY
H10.102		春季结膜炎	CJJMY
H10.201		卡他性结膜炎	KTXJMY
H10.301		急性结膜炎	JXJMY
H10.401		球结膜肉芽肿	QJMRYZ
H10.402		慢性结膜炎	MXJMY
H10.501		眼眦脓肿	YCNZ
H10.801		感染性结膜炎	GRXJMY
H10.802		结膜溃疡	JMKY
H10.803		泡性结膜炎	PXJMY
H10.901		结膜炎	JMY
H10.902		细菌性结膜炎	XJXJMY
H10.903		眼炎	YY
H11.001		翼状胬肉	YZNR
H11.101		结膜变性	JMBX
H11.102		睑裂斑	JLB
H11.103		干眼病(结膜干燥)	GYBJMGZ
H11.104		结膜干燥症	JMGZZ
H11.105		结膜角化	JMJH
H11.106		结膜结石	JMJS
H11.201		睑球粘连	JQZL
H11.202		结膜疤痕	JMBH
H11.301		结膜出血	JMCX
H11.401		结膜囊肿	JMNZ
H11.402		结膜血管增生	JMXGZS
H11.801		假性翼状胬肉	JXYZNR
H11.802		角结膜增生	JJMZS
H11.803		结膜淋巴管扩张	JMLBGKZ
H11.804		结膜囊畸形	JMNJX
H11.805		结膜囊挛缩	JMNLS
H11.806		结膜囊狭窄	JMNXZ
H11.807		结膜松弛	JMSC
H93.101		耳鸣	EM
H93.201		复听	FT
H93.202		听功能障碍	TGNZA
H93.301		位听神经炎	WTSJY
H93.801		耳后血肿机化	EHXZJH
H95.101		乳突切除术后并发症	RTQCSHBFZ
H95.102		乳突切除术后空腔感染	RTQCSHKQGR
I00  01		风湿活动	FSHD
I00  02		风湿热	FSR
I00  03		风湿性关节炎	FSXGJY
I00  04		急性风湿热	JXFSR
I00  05		急性风湿性关节炎	JXFSXGJY
H70.107		手术后乳突瘘	SSHRTL
H70.201		岩部炎(颞骨)	YBY
H70.901		化脓性乳突炎	HNXRTY
H70.902		乳突炎	RTY
I00  06+	M49.801*	风湿性脊柱炎	FSXJZY
I01.001		急性风湿性心包炎	JXFSXXBY
I01.101		急性风湿性心内膜炎	JXFSXXNMY
I01.201		急性风湿性心肌炎	JXFSXXJY
I01.801		急性风湿性全心炎	JXFSXQXY
I01.901		急性风湿性心脏病	JXFSXXZB
I02.901		风湿性舞蹈病	FSXWDB
I02.902		急性风湿性舞蹈病	JXFSXWDB
I02.903		慢性风湿性舞蹈病	MXFSXWDB
I05.001		风湿性二尖瓣狭窄	FSXEJBXZ
I05.101		风湿性二尖瓣闭锁不全	FSXEJBBSBQ
I07.001		风湿性三尖瓣狭窄	FSXSJBXZ
I07.002		三尖瓣狭窄	SJBXZ
I07.101		三尖瓣闭锁不全	SJBBSBQ
I07.201		三尖瓣狭窄伴关闭不全	SJBXZBGBBQ
I07.801		三尖瓣返流	SJBFL
I08.001		二尖瓣闭锁不全伴主动脉瓣狭窄	EJBBSBQBZD
I08.002		二尖瓣闭锁不全伴主动脉瓣狭窄和主动脉漏	EJBBSBQBZD
I08.003		二尖瓣闭锁不全及主动脉瓣狭窄闭锁不全	EJBBSBQBZD
I08.004		二尖瓣及主动脉瓣闭锁不全	EJBJZDMBBS
I08.005		二尖瓣及主动脉瓣畸形	EJBJZDMBJX
I08.006		二尖瓣狭窄伴主动脉瓣返流	EJBXZBZDMB
I08.007		二尖瓣及主动脉瓣狭窄	EJBJZDMBXZ
I08.008		二尖瓣狭窄伴主动脉瓣狭窄	EJBXZBZDMB
I08.009		二尖瓣及主动脉瓣狭窄闭锁不全	EJBJZDMBXZ
I08.010		二尖瓣狭窄伴主动脉瓣狭窄闭锁不全	EJBXZBZDMB
I08.011		二尖瓣狭窄闭锁不全伴主动脉狭窄	EJBXZBSBQB
I08.012		二尖瓣狭窄关闭不全及主动脉瓣关闭不全	EJBXZGBBQJ
I08.013		风湿性二尖瓣伴主动脉瓣闭锁不全	FSXEJBBZDM
I08.014		风湿性二尖瓣闭锁不全伴主动脉瓣狭窄	FSXEJBBSBQ
I08.015		风湿性二尖瓣闭锁不全伴主动脉瓣狭窄和漏	MSXEJBBSBQ
I08.016		心内膜炎并主动脉瓣二尖瓣穿孔	XNMYBZDMBE
I08.017		风湿性二尖瓣狭窄伴主动脉瓣关闭不全	FSXEJBXZBZDM
I08.101		二尖瓣、三尖瓣关闭不全	EJBSJBGBBQ
I08.102		风湿性二尖瓣狭窄、关闭不全伴三尖瓣关闭不全	FSXEJBXZGBBQ
I08.103		风湿性二尖瓣狭窄伴三尖瓣关闭不全	FSXEJBXZBSJB
I08.301		风湿性二尖瓣、主动脉瓣和三尖瓣的合并疾患	FSXEJBZDMBHS
I08.901		风湿性联合瓣膜病	FSXLHBMB
I09.001		风湿性心肌炎	FSXXJY
I09.201		风湿性粘连性心包炎	FSXZLXXBY
I09.202		慢性风湿性心包炎	MXFSXXBY
I09.203		慢性风湿性心肌心包炎	MXFSXXJXBY
I09.204		慢性风湿性纵隔心包炎	MXFSXZGXBY
I09.801		风湿性肺动脉瓣闭锁不全	FSXFDMBBSB
I09.802		风湿性肺动脉瓣狭窄	FSXFDMBXZ
I09.901		风湿性心脏病	FSXXZB
I09.902		风湿性全心炎	FSXQXY
I10  01		恶性高血压	EXGXY
I10  02		高血压	GXY
I10  03		高血压I	GXYYQ
I10  04		高血压Ⅱ	GXYEQ
I10  05		高血压Ⅲ	GXYSQ
I10  06		高血压危象	GXYWX
I10  07		老年收缩期高血压	LNSSQGXY
I10  08		良性高血压	LXGXY
I10  09		临界性高血压	LJXGXY
I10  10		特发性高血压	TFXGXY
I10  11		原发性高血压	YFXGXY
I11.901		高血压性心脏病	GXYXXZB
I12.001		高血压性肾衰竭	GXYXSSJ
I12.901		动脉硬化性肾病	DMYHXSB
I12.902		动脉硬化性肾炎	DMYHXSY
I12.903		高血压性肾病	GXYXSB
I12.904		肾动脉硬化	SDMYH
I12.905		肾萎缩伴有高血压	SWSBYGXY
I12.906		小动脉性肾炎	XDMXSY
I12.907		小动脉性肾硬化	XDMXSYH
I13.901		高血压性心脏病及肾脏病	GXYXXZBJSZ
I13.902		肾性高血压伴高血压性心脏病	SXGXYBGXYX
I15.001		肾血管性高血压	SXGXGXY
I15.101		肾实质性高血压病	SSZXGXYB
I15.102		肾性高血压	SXGXY
I15.201		继发于肾上腺疾患的高血压	JFYSSXJHDGXY
I15.801		口服避孕药高血压	KFBYYGXY
I15.802		其它继发性高血压	QTJFXGXY
I05.201		风湿性二尖瓣狭窄闭锁不全  二尖瓣狭窄	FSXEJBXZBS
I05.202		二尖瓣狭窄闭锁不全	EJBXZBSBQ
I05.203		风湿性二尖瓣狭窄伴闭锁不全	FSXEJBXZBS
I05.801		二尖瓣钙化	EJBGH
I05.901		二尖瓣病	EJBB
I06.001		风湿性主动脉瓣狭窄	FSXZDMBXZ
I06.101		风湿性主动脉瓣闭锁不全	FSXZDMBBSB
I06.102		风湿性主动脉瓣返流	FSXZDMBFL
I06.201		风湿性主动脉瓣狭窄伴闭锁不全	FSXZDMBXZB
I20.804		劳力型心绞痛	LLXXJT
I20.805		稳定性心绞痛	WDXXJT
I20.901		心绞痛型	XJTX
I20.902		心绞痛	XJT
I21.001		急性前壁侧壁心肌梗死	JXQBCBXJGS
I21.002		急性前壁心肌梗死	JXQBXJGS
I21.003		急性前膈心肌梗死	JXQGXJGS
I21.004		急性前间壁心肌梗死	JXQJBXJGS
I21.101		急性膈面(下壁)心肌梗死	JXGMXJGS
I21.102		急性膈面心肌梗死	JXGMXJGS
I21.103		急性下壁心肌梗死	JXXBXJGS
I21.201		急性侧壁心肌梗死	JXCBXJGS
I21.202		急性高侧壁心肌梗死	JXGCBXJGS
I21.203		急性后壁心肌梗死	JXHBXJGS
I21.204		急性前壁下壁心肌梗死	JXQBXBXJGS
I21.205		急性室间隔下段心肌梗死	JXSJGXDXJG
I21.206		急性下壁侧壁正后壁心肌梗死	JXXBCBZHBX
I21.207		急性下壁右心室心肌梗死	JXXBYXSXJG
I21.208		急性下壁正后壁心肌梗死	JXXBZHBXJG
I21.209		急性心房心肌梗死	JXXFXJGS
I21.210		急性心尖部心肌梗死	JXXJBXJGS
I21.211		急性正后壁心肌梗死	JXZHBXJGS
I21.212		右心肌梗死	YXJGS
I21.301		急性右心室心肌梗死	JXYXSXJGS
I21.302		急性室壁心肌梗死	JXSBXJGS
I21.303		手术后心肌梗死	SSHXJGS
I21.304		急性心肌梗死	JXXJGS
I21.401		急性小灶心肌梗死	JXXZXJGS
I21.402		急性心内膜下心肌梗死	JXXNMXXJGS
I21.901		非冠心病心肌梗死	FGXBXJGS
I21.902		心肌梗死	XJGS
I21.903		冠状动脉闭塞	GZDMBS
I21.904		冠状动脉破裂	GZDMPL
I21.905		冠状动脉栓塞	GZDMSS
H18.803		角膜囊肿	JMNZ
H18.804		角膜皮赘	JMPZ
H18.805		角膜切口瘘	JMQKL
H18.806		角膜上皮脱落	JMSPTL
H18.807		角膜炎性肿物	JMYXZW
H18.808		角膜结膜化（眼外伤后）	JMJMHYWSH
H18.901		陈旧性角膜炎	CJXJMY
H20.001		创伤性虹膜睫状体炎	CSXHMJZTY
H20.002		复发性虹膜睫状体炎	FFXHMJZTY
H20.003		前房积脓	QFJN
H20.004		急性虹膜睫状体炎	JXHMJZTY
H20.005		前房积脓性虹膜睫状体炎	QFJNXHMJZTY
H20.006		急性眼色素膜炎（急性葡萄膜炎）	JXYSSMYJXPTM
H20.101		慢性虹膜睫状体炎	MXHMJZTY
H20.102		慢性虹膜炎	MXHMY
H20.103		慢性眼色素膜炎(慢性葡萄膜炎)	MXYSSMYMXPTM
H20.104		肉芽肿性色素膜炎	RYZXSSMY
H20.201		晶体诱发性眼色素膜炎	JTYFXYSSMY
H20.801		虹膜脓肿	HMNZ
H20.802		角膜葡萄膜炎	JMPTMY
H20.803		眼色素层脑膜炎	YSSCNMY
H20.804		全色素膜炎	QSSMY
H20.805		眼坏死型色素膜炎	YHSXSSMY
H20.806		异色性虹膜炎	YSXHMY
H20.901		虹膜睫状体炎	HMJZTY
H20.902		虹膜炎	HMY
H20.903		继发性虹膜炎	JFXHMY
H20.904		眼色素膜炎(葡萄膜炎)	YSSMYPTMY
H21.001		虹膜出血	HMCX
H21.002		眼前房出血	YQFCX
H21.101		虹膜新生血管形成	HMXSXGXC
H21.102		虹膜红变	HMHB
H21.201		虹膜变性	HMBX
H21.202		虹膜缺损	HMQS
H16.302		角膜脓肿	JMNZ
H16.303		实质性角膜炎	SZXJMY
H16.304		硬化性角膜炎	YHXJMY
H21.203		虹膜萎缩	HMWS
H21.301		虹膜囊肿	HMNZ
H21.302		前房植入性囊肿	QFZRXNZ
H21.401		瞳孔膜闭	TKMB
H21.501		陈旧性虹膜睫状体炎	CJXHMJZTY
H21.502		陈旧性眼色素膜炎(陈旧性葡萄膜炎)	CJXYSSMYCJXP
H21.503		虹膜离断	HMLD
H21.504		虹膜前粘连	HMQZL
H21.505		虹膜粘连	HMZL
H21.506		前房后退(房角后退)	QFHTFJHT
H21.507		前房角破裂	QFJPL
H21.508		瞳孔后粘连	TKHZL
H21.509		瞳孔移位	TKYW
H21.510		眼球粘连	YQZL
H21.801		虹膜角膜内皮综合征	HMJMNPZHZ
H21.802		虹膜突出	HMTC
H21.803		睫状体脱离	JZTTL
H25.001		老年性白内障未熟期	LNXBNZWSQ
H26.002		青年期白内障	QNQBNZ
H26.003		幼年期白内障	YNQBNZ
H26.101		创伤性白内障	CSXBNZ
H26.102		晶体后囊膜破裂	JTHNMPL
H26.201		并发性白内障	BFXBNZ
H26.202		虹膜异色性白内障	HMYSXBNZ
H26.203		青光眼性白内障	QGYXBNZ
H26.301		激素性白内障	JSXBNZ
H26.302		中毒性白内障	ZDXBNZ
H26.401		后发性白内障	HFXBNZ
H26.402		继发性白内障	JFXBNZ
H26.403		膜性白内障	MXBNZ
H26.801		混合性白内障	HHXBNZ
H26.901		白内障	BNZ
H26.902		后天性白内障	HTXBNZ
H26.903		晶体混浊	JTHZ
H27.001		手术后无晶体	SSHWJT
H27.002		后天性无晶体	HTXWJT
H27.003		晶状体缺失	JZTQS
H27.101		晶状体不全脱位	JZTBQTW
H27.102		晶状体脱位	JZTTW
H27.801		眼前囊收缩综合征	YQNSSZHZ
H30.001		近乳头性脉络膜视网膜炎	JRTXMLMSWM
H30.002		渗出性脉络膜炎	SCXMLMY
H30.101		播散性脉络膜视网膜炎	BSXMLMSWMY
H30.801		原田氏综合征	YTSZHZ
H30.901		陈旧性脉络膜视网膜炎	CJXMLMSWMY
H30.902		结节性脉络膜炎	JJXMLMY
H30.903		视神经视网膜炎	SSJSWMY
H30.904		后葡萄膜炎（脉络膜视网膜炎）	HPTMYMLMSWMY
H31.001		视网膜瘢痕	SWMBH
H31.101		脉络膜萎缩	MLMWS
H31.102		脉络膜硬化	MLMYH
H31.301		脉络膜出血	MLMCX
H31.302		脉络膜破裂	MLMPL
H31.401		出血性脉络膜脱离	CXXMLMTL
H31.402		创伤性脉络膜脱离	CSXMLMTL
H31.403		化脓性脉络膜脱离	HNXMLMTL
H31.404		脉络膜脱离	MLMTL
H31.405		渗出性脉络膜脱离	SCXMLMTL
H31.406		手术后脉络膜脱离	SSHMLMTL
H31.801		脉络膜缺血	MLMQX
H31.802		脉络膜渗出	MLMSC
H31.901		脉络膜占位性病变	MLMZWXBB
H33.001		锯齿缘离断	JCYLD
H33.002		孔源性视网膜脱离	KYXSWMTL
H33.101		视网膜囊肿	SWMNZ
H33.102		视网膜劈裂(症)	SWMPLZ
H33.201		陈旧性视网膜脱离	CJXSWMTL
H33.202		视网膜脱离	SWMTL
H33.203		浆液性视网膜脱离	JYXSWMTL
H33.301		视网膜缺损	SWMQS
H33.302		创伤性视网膜裂孔	CSXSWMLK
H33.303		视网膜裂孔	SWMLK
H33.304		视网膜破裂	SWMPL
H33.305		视网膜撕裂	SWMSL
H33.401		牵拉性视网膜脱离	QLXSWMTL
H33.402		增生性玻璃体-视网膜病伴视网膜脱离	ZSXBLTSWMBBS
H33.501		创伤性视网膜脱离	CSXSWMTL
H33.502		大泡性视网膜脱离	DPXSWMTL
H33.503		复发性视网膜脱离	FFXSWMTL
H33.504		继发性视网膜脱离	JFXSWMTL
H33.505		渗出性视网膜脱离	SCXSWMTL
H33.506		医源性视网膜脱离	YYXSWMTL
H33.507		原发性视网膜脱离	YFXSWMTL
H34.101		闭塞性视网膜动脉炎	BSXSWMDMY
H34.102		视网膜中央动脉阻塞	SWMZYDMZS
H34.201		视网膜动脉闭塞	SWMDMBS
H34.202		视网膜血管闭塞	SWMXGBS
H34.203		视网膜血管痉挛	SWMXGJL
H34.204		眼动脉栓塞	YDMSS
H25.002		前极白内障	QJBNZ
H25.101		核硬化性白内障	HYHXBNZ
H25.901		老年性白内障	LNXBNZ
H26.001		老年前期白内障	LNQQBNZ
H34.801		颞上枝静脉阻塞	NSZJMZS
H34.802		视网膜静脉闭塞	SWMJMBS
H34.803		视网膜中央静脉阻塞	SWMZYJMZS
H34.804		眼底静脉栓塞	YDJMSS
H35.001		高血压性视网膜病	GXYXSWMB
H35.002		环状视网膜病	HZSWMB
H35.003		科茨氏病(渗出性视网膜病)	KCSB
H35.004		渗出性视网膜病变	SCXSWMBB
H35.005		肾病眼底改变	SBYDGB
